PV Yield (kWh),Amount of PV panel,WATT,Temperature(°F),Humidity (%),Wind Speed (mph),Pressure (in),Hours,where
12.73,24.00,500.00,83.9,76.8,8.2,29.7,11.43,0
15.16,24.00,500.00,83.8,73.1,9.7,29.7,11.44,0
16.66,24.00,500.00,84,70.1,9.1,29.8,11.45,0
15.08,24.00,500.00,83.9,71.9,6.3,29.8,11.45,0
18.55,24.00,500.00,83.1,77.5,6.2,29.8,11.46,0
15.63,24.00,500.00,83.9,72.8,7.1,29.7,11.47,0
14.43,24.00,500.00,84.9,66.5,8.3,29.7,11.48,0
26.06,24.00,500.00,84.3,72.8,8.8,29.7,11.48,0
18.03,24.00,500.00,82.7,77.9,5.9,29.8,11.50,0
16.96,24.00,500.00,84.6,74.9,3.5,29.8,11.51,0
21.78,24.00,500.00,86.6,69.7,5.2,29.8,11.51,0
22.31,24.00,500.00,82.6,77.2,6.7,29.8,11.52,0
24.75,24.00,500.00,83.8,72.8,4.2,29.8,11.53,0
15.39,24.00,500.00,83.1,78,4.3,29.8,11.54,0
21.82,24.00,500.00,84.7,74.3,5.5,29.7,11.54,0
18.41,24.00,500.00,85,75.3,4.9,29.7,11.55,0
17.29,24.00,500.00,82.7,78.9,5.7,29.7,11.56,0
14.93,24.00,500.00,82.5,80.8,6.7,29.7,11.57,0
11.92,24.00,500.00,82.2,81.3,10.5,29.7,11.57,0
20.15,24.00,500.00,83.3,75.3,9.4,29.8,11.58,0
14.76,24.00,500.00,83,76,6.2,29.8,11.59,0
14.1,24.00,500.00,86.5,70.5,11.6,29.7,11.16,0
9.76,24.00,500.00,85.5,72.8,9.4,29.7,11.17,0
12.16,24.00,500.00,84.4,75.5,7.3,29.7,11.17,0
12.72,24.00,500.00,85.8,68.5,8.1,29.8,11.18,0
20.44,24.00,500.00,86,65.7,8.8,29.8,11.19,0
17.44,24.00,500.00,86.7,64.8,8.9,29.8,11.19,0
15.43,24.00,500.00,86.6,65.2,8.4,29.7,11.20,0
16.23,24.00,500.00,86.4,66.1,8.9,29.8,11.20,0
19.67,24.00,500.00,86.4,66.3,8.3,29.8,11.21,0
20.58,24.00,500.00,86.6,65.5,7,29.8,11.22,0
24.87,24.00,500.00,87.7,62,7.7,29.8,11.22,0
25.09,24.00,500.00,86.2,67,7,29.7,11.23,0
21.13,24.00,500.00,87.2,66.5,7.2,29.7,11.23,0
21.2,24.00,500.00,87.4,66.7,7.5,29.7,11.24,0
17.04,24.00,500.00,86,65.1,7.8,29.7,11.24,0
18.9,24.00,500.00,86.4,64,6.3,29.8,11.26,0
19.99,24.00,500.00,85.2,63.6,7.5,29.8,11.26,0
26.09,24.00,500.00,87,63,8.1,29.7,11.27,0
24.78,24.00,500.00,89.2,56.5,7.7,29.7,11.28,0
18.14,24.00,500.00,86.5,64.2,8.3,29.7,11.28,0
18.95,24.00,500.00,83.8,75.2,7.5,29.7,11.29,0
19.22,24.00,500.00,84.8,73.7,6.2,29.8,11.29,0
9.77,24.00,500.00,84.2,73.4,5.9,29.7,11.30,0
14.39,24.00,500.00,84.1,72.1,6.5,29.7,11.31,0
18.91,24.00,500.00,85,68.2,6.5,29.8,11.32,0
20.54,24.00,500.00,85.4,69.9,7.3,29.8,11.33,0
22.84,24.00,500.00,87.6,59.4,6.3,29.7,11.33,0
25.19,24.00,500.00,87.7,59.4,8.5,29.7,11.34,0
15.87,24.00,500.00,86.6,62.5,7.9,29.7,11.35,0
13.88,24.00,500.00,86.9,65.5,6.8,29.7,11.35,0
22.66,24.00,500.00,84.8,73.2,6.3,29.7,11.36,0
10.77,24.00,500.00,86.6,72.6,8.9,29.7,11.05,0
19.7,24.00,500.00,85.8,71,10.1,29.7,11.05,0
16.57,24.00,500.00,85.8,70.2,9.4,29.8,11.05,0
10.46,24.00,500.00,85.6,67.7,6.8,29.8,11.05,0
16.4,24.00,500.00,83.9,74.9,4.4,29.8,11.06,0
20.34,24.00,500.00,86.3,66.7,4.4,29.8,11.06,0
24.57,24.00,500.00,88.9,62.5,7.3,29.8,11.06,0
25.88,24.00,500.00,86.4,71.5,8.9,29.8,11.06,0
14.87,24.00,500.00,82.3,82,6.1,29.8,11.06,0
26.38,24.00,500.00,83.6,75.7,8.8,29.8,11.06,0
20.39,24.00,500.00,85.1,73.7,7.3,29.8,11.06,0
18.85,24.00,500.00,86.8,68.7,5.3,29.8,11.08,0
27.99,24.00,500.00,88.3,63.1,6.8,29.8,11.08,0
29.12,24.00,500.00,88.7,57.5,8.3,29.8,11.08,0
25.77,24.00,500.00,88.5,55.3,8.7,29.7,11.09,0
17.09,24.00,500.00,87.8,57.1,9.3,29.7,11.09,0
22.46,24.00,500.00,87.1,56.9,11.1,29.6,11.09,0
16.21,24.00,500.00,86.7,55.9,8.9,29.6,11.09,0
21.04,24.00,500.00,87.1,55.7,8.5,29.6,11.10,0
18.01,24.00,500.00,84.6,67.3,6,29.7,11.10,0
18.62,24.00,500.00,84.5,73.7,7.3,29.7,11.10,0
17.34,24.00,500.00,82.9,79.3,5.8,29.8,11.12,0
17.4,24.00,500.00,82.3,81.1,5.3,29.8,11.12,0
27.43,24.00,500.00,84.2,72.8,6.2,29.7,11.12,0
27.19,24.00,500.00,86.2,64.5,7.5,29.7,11.12,0
23.28,24.00,500.00,87,60.4,8.2,29.8,11.14,0
24.29,24.00,500.00,89,53.1,11,29.7,11.14,0
23.64,24.00,500.00,88,55.3,10.7,29.7,11.14,0
23.47,24.00,500.00,87.3,60,8.3,29.6,11.14,0
11.62,24.00,500.00,85.8,67.8,8.7,29.7,11.16,0
17.14,24.00,500.00,85.5,71.2,11,29.7,11.16,0
27.68,24.00,500.00,89.1,61.1,8.9,29.7,11.07,0
24.43,24.00,500.00,89.2,61.4,8.1,29.7,11.07,0
25.5,24.00,500.00,88.9,62,8.1,29.7,11.07,0
22.41,24.00,500.00,88.7,64.5,9.4,29.7,11.06,0
19.62,24.00,500.00,88.8,60.1,7.9,29.7,11.06,0
19.97,24.00,500.00,86.9,65.9,9,29.7,11.06,0
18.68,24.00,500.00,86.4,68.5,11.7,29.7,11.05,0
17.52,24.00,500.00,83.6,73.4,9.3,29.7,11.05,0
9.5,24.00,500.00,85.4,68.8,9.5,29.7,11.05,0
16.77,24.00,500.00,86.1,68.6,9.7,29.7,11.05,0
27.21,24.00,500.00,85.8,67.6,11.2,29.7,11.04,0
18.85,24.00,500.00,85.2,67,11.6,29.7,11.05,0
14.12,24.00,500.00,85.5,69.8,11.6,29.7,11.05,0
19.27,24.00,500.00,85.7,68.8,9.9,29.8,11.04,0
16.3,24.00,500.00,86.2,69.6,9.2,29.7,11.04,0
13.97,24.00,500.00,87.1,66.9,10.7,29.7,11.04,0
15.33,24.00,500.00,87,68.9,9.5,29.7,11.04,0
12.96,24.00,500.00,85,73.3,8.6,29.8,11.04,0
19.78,24.00,500.00,84.7,73.6,6.6,29.8,11.04,0
14.66,24.00,500.00,87.4,66.7,8.9,29.7,11.04,0
27.14,24.00,500.00,87.7,66.8,8.1,29.8,11.04,0
4.97,24.00,500.00,84.6,73.8,6.7,29.8,11.03,0
29.28,24.00,500.00,89.4,62.1,7.7,29.7,11.04,0
23.71,24.00,500.00,89.1,56.8,8.6,29.7,11.04,0
22.74,24.00,500.00,88,58.9,7.8,29.7,11.04,0
19.35,24.00,500.00,87.7,58.2,9,29.7,11.04,0
26.35,24.00,500.00,87.6,60.6,6.5,29.7,11.05,0
22.56,24.00,500.00,88.4,61.6,5.8,29.7,11.04,0
23.49,24.00,500.00,88.3,64.8,7.3,29.7,11.04,0
16.42,24.00,500.00,86.8,70,7.6,29.7,11.04,0
24.38,24.00,500.00,86.8,65.7,5.5,29.8,11.23,0
15.63,24.00,500.00,87.9,68.9,7.3,29.8,11.22,0
29.19,24.00,500.00,89.1,63.1,9.3,29.8,11.21,0
28.67,24.00,500.00,89.2,65,10.4,29.7,11.21,0
19.95,24.00,500.00,90.8,64.3,10.3,29.7,11.21,0
28.24,24.00,500.00,92.1,59.4,9.5,29.6,11.20,0
27.87,24.00,500.00,92.9,57.6,10.4,29.6,11.19,0
22.15,24.00,500.00,90.1,64.1,9.9,29.7,11.18,0
24.52,24.00,500.00,87.7,65.2,8,29.7,11.18,0
24.85,24.00,500.00,83.7,74.8,5.4,29.8,11.18,0
13.25,24.00,500.00,86.9,69.6,5.5,29.8,11.16,0
28.49,24.00,500.00,88.5,62.7,9.9,29.8,11.16,0
26.85,24.00,500.00,87.1,66.3,8.4,29.8,11.16,0
29.33,24.00,500.00,89.1,59.1,10.9,29.8,11.16,0
27.25,24.00,500.00,88.7,64,8.3,29.8,11.14,0
20.7,24.00,500.00,88.3,60.3,6.8,29.8,11.14,0
27.81,24.00,500.00,90.1,56.9,7.3,29.8,11.14,0
28.54,24.00,500.00,91.6,54.6,8.9,29.8,11.13,0
27.74,24.00,500.00,91.7,52.6,8,29.7,11.12,0
27.78,24.00,500.00,91.1,51.2,8.2,29.7,11.12,0
21.96,24.00,500.00,91.7,54.2,8.5,29.7,11.12,0
22.38,24.00,500.00,90.5,59.6,10.1,29.8,11.11,0
23.66,24.00,500.00,89.8,56.3,7.6,29.8,11.11,0
23,24.00,500.00,88.8,61.3,7.4,29.8,11.11,0
23.09,24.00,500.00,87.7,63.1,8.3,29.8,11.09,0
28,24.00,500.00,90.6,57,7.3,29.8,11.09,0
25.21,24.00,500.00,88.8,62.5,7,29.7,11.09,0
18.86,24.00,500.00,86,67.1,5.9,29.7,11.08,0
15.47,24.00,500.00,83.4,75.1,4.9,29.7,11.08,0
17.78,24.00,500.00,85.4,72.9,4.8,29.7,11.08,0
19.31,24.00,500.00,87,70.7,7.6,29.7,11.08,0
27.77,24.00,500.00,87.3,65.3,13,29.8,11.45,0
23.89,24.00,500.00,86.6,66.8,12.7,29.8,11.44,0
26.95,24.00,500.00,88.3,59,10.2,29.7,11.43,0
25.85,24.00,500.00,88.2,61.4,11,29.7,11.42,0
23.46,24.00,500.00,88,56.9,8.1,29.7,11.41,0
24.94,24.00,500.00,88.7,63.8,8.5,29.8,11.41,0
12.71,24.00,500.00,85.8,68.2,8.3,29.8,11.40,0
20.71,24.00,500.00,87.1,65.2,7.9,29.9,11.39,0
25.63,24.00,500.00,87.1,67.2,8.6,29.9,11.39,0
26.07,24.00,500.00,88.1,65.3,11.2,29.8,11.38,0
25.44,24.00,500.00,88.8,66.6,10.8,29.8,11.37,0
23.12,24.00,500.00,88.8,69.8,11.7,29.8,11.37,0
23.26,24.00,500.00,89.7,64.2,9.6,29.7,11.36,0
21.7,24.00,500.00,89.5,62.6,9.3,29.7,11.34,0
22.53,24.00,500.00,89.3,64.3,9.1,29.7,11.34,0
14.49,24.00,500.00,86.8,68,9.8,29.7,11.33,0
23.36,24.00,500.00,88.9,61,8.8,29.8,11.33,0
23.43,24.00,500.00,88.7,66.1,11.1,29.8,11.32,0
20.34,24.00,500.00,89.4,66.4,11.1,29.7,11.31,0
25.97,24.00,500.00,91,55.6,10.2,29.6,11.31,0
25.71,24.00,500.00,90.9,56.5,8.5,29.6,11.29,0
22.37,24.00,500.00,91,59.6,9.1,29.7,11.29,0
26.3,24.00,500.00,90.1,62.5,11.5,29.7,11.28,0
21.66,24.00,500.00,90,61.3,7,29.8,11.28,0
1.63,24.00,500.00,87.7,66.8,7.8,29.8,11.27,0
10.96,24.00,500.00,80.5,79.8,5.8,29.8,11.27,0
21.29,24.00,500.00,86.4,67.5,4.6,29.8,11.25,0
15,24.00,500.00,87.9,67,7,29.8,11.25,0
27.23,24.00,500.00,89.4,64.8,9.2,29.7,11.24,0
11.6,24.00,500.00,82.8,75.3,7.8,29.8,11.24,0
27.86,24.00,500.00,84.3,50.5,5,29.90,12.08,0
26.97,24.00,500.00,86.6,45.3,7.8,29.90,12.08,0
26.45,24.00,500.00,83.8,47.1,7.5,30.00,12.07,0
27,24.00,500.00,82.5,50.4,7.9,30.00,12.06,0
25.47,24.00,500.00,82.7,50.3,7,30.00,12.05,0
24.92,24.00,500.00,83.4,54.1,5.4,29.90,12.04,0
24.27,24.00,500.00,83.9,58,4.1,29.90,12.04,0
25.18,24.00,500.00,84.8,65.4,5.4,29.90,12.03,0
21.91,24.00,500.00,84.6,68.7,7.1,29.90,12.02,0
22.65,24.00,500.00,84.8,68.4,6,29.90,12.02,0
19.07,24.00,500.00,84.2,71.1,9.2,29.90,12.01,0
17.96,24.00,500.00,84.5,70.3,8.7,29.90,12.00,0
18.7,24.00,500.00,82.5,65.8,8.7,29.90,11.59,0
23.78,24.00,500.00,83.2,58.1,6.9,29.80,11.58,0
20.84,24.00,500.00,81.5,70.9,3.2,29.80,11.57,0
24.06,24.00,500.00,85.4,64.8,10.4,29.90,11.57,0
23.96,24.00,500.00,84.5,67.6,9.5,29.90,11.56,0
24.9,24.00,500.00,84.5,68.8,8.8,29.80,11.55,0
22.84,24.00,500.00,84.8,69.1,11,29.80,11.55,0
26.72,24.00,500.00,85.3,68.6,10.7,29.80,11.54,0
28.11,24.00,500.00,85.3,69.9,11.8,29.80,11.53,0
26.79,24.00,500.00,85.7,70.4,11.4,29.70,11.52,0
27.71,24.00,500.00,86.3,68.1,12,29.70,11.51,0
28.43,24.00,500.00,85.8,72,10.5,29.80,11.50,0
28.25,24.00,500.00,86.3,70.2,10.9,29.80,11.50,0
29.42,24.00,500.00,86.6,68.3,11.4,29.80,11.49,0
28.48,24.00,500.00,86.4,67.5,10.8,29.80,11.48,0
24.66,24.00,500.00,86.2,67,12.5,29.80,11.48,0
28.74,24.00,500.00,86.2,63.3,9.5,29.80,11.47,0
23.7,24.00,500.00,84.8,70.3,10,29.80,11.46,0
27,24.00,500.00,87.2,66.7,12.2,29.80,11.46,0
20.8,24.00,500.00,79.7,51,3.9,29.8,12.28,0
22.06,24.00,500.00,83.3,59.8,4.2,29.8,12.27,0
11.89,24.00,500.00,83.8,65.8,6.4,29.8,12.26,0
14.65,24.00,500.00,83.9,71.3,6.7,29.8,12.25,0
15.36,24.00,500.00,83.9,67.8,5.8,29.8,12.25,0
19.78,24.00,500.00,84.1,70.1,8.7,29.8,12.25,0
23.99,24.00,500.00,83.8,68.3,9.6,29.8,12.23,0
26.42,24.00,500.00,84.3,67.6,7.9,29.8,12.23,0
24.48,24.00,500.00,84,70.2,10,29.8,12.22,0
25.88,24.00,500.00,84.1,68.3,8.9,29.8,12.22,0
27.7,24.00,500.00,84.9,64.3,9.7,29.8,12.21,0
28.06,24.00,500.00,84.5,66.9,10.3,29.8,12.20,0
26.7,24.00,500.00,84.3,68.7,8.9,29.8,12.20,0
26.33,24.00,500.00,84.9,69.2,7.7,29.8,12.19,0
3.74,24.00,500.00,78.9,86.2,6.4,29.9,12.18,0
20.71,24.00,500.00,79.6,74.4,7.7,29.9,12.17,0
19.59,24.00,500.00,80.4,64.4,7.8,29.9,12.17,0
25.64,24.00,500.00,82.1,56.6,5.8,29.9,12.17,0
24.81,24.00,500.00,84.2,56.9,5,29.9,12.15,0
27.5,24.00,500.00,83.8,54.5,7.8,29.9,12.15,0
27.63,24.00,500.00,83.3,56.2,6.6,29.9,12.14,0
28.22,24.00,500.00,83.9,53.4,7.4,29.9,12.14,0
25.19,24.00,500.00,84.5,48.3,5.1,29.9,12.12,0
27.39,24.00,500.00,85.5,47.8,6.4,29.8,12.12,0
27.95,24.00,500.00,82.8,49,11.8,29.9,12.11,0
29.06,24.00,500.00,79.3,49.4,13.1,30,12.11,0
26.97,24.00,500.00,78.3,53.3,9,30,12.09,0
26.52,24.00,500.00,81.3,52.3,5.4,30,12.09,0
25.9,24.00,500.00,76.7,58.5,7.8,30,12.40,0
20.95,24.00,500.00,77.6,58.5,5.8,30,12.40,0
15.6,24.00,500.00,80.1,60.7,6.6,30,12.40,0
26.1,24.00,500.00,81.9,56.9,5.5,29.9,12.39,0
22.39,24.00,500.00,81.4,57,6.8,29.9,12.39,0
20.74,24.00,500.00,80.4,56,12.1,29.9,12.39,0
17.68,24.00,500.00,78,51.7,9.4,29.9,12.39,0
15.57,24.00,500.00,80.4,50.5,6.1,29.9,12.38,0
16.7,24.00,500.00,82.5,53.2,6.4,29.9,12.38,0
22.43,24.00,500.00,82.8,63.3,7.6,29.9,12.38,0
8.56,24.00,500.00,78.7,76.9,8,29.9,12.37,0
15.94,24.00,500.00,80.6,73.3,5.5,29.8,12.37,0
15.94,24.00,500.00,82.3,72.5,6,29.9,12.36,0
19.97,24.00,500.00,82.7,70.9,6.5,29.8,12.37,0
25.11,24.00,500.00,82.6,64.4,4.7,29.8,12.36,0
21.18,24.00,500.00,82,64.4,5.2,29.8,12.36,0
23.29,24.00,500.00,82.1,62.6,5.8,29.9,12.35,0
25.43,24.00,500.00,81.5,57,9.7,29.9,12.35,0
23.55,24.00,500.00,79.9,52.3,7.9,29.9,12.34,0
24.04,24.00,500.00,79.7,55.7,6.9,29.9,12.33,0
25.32,24.00,500.00,81.2,50.3,6.5,29.9,12.33,0
25.81,24.00,500.00,80.6,49.9,4.6,29.8,12.32,0
26.06,24.00,500.00,82.6,49.1,4.8,29.8,12.32,0
21.96,24.00,500.00,83,52,10.8,29.8,12.31,0
25.76,24.00,500.00,76.2,51,11.8,29.9,12.31,0
24.5,24.00,500.00,79.2,48.6,4.8,29.9,12.30,0
18.91,24.00,500.00,81.1,51.5,7.7,29.9,12.30,0
21.72,24.00,500.00,77.1,54.1,12.3,29.9,12.29,0
24.38,24.00,500.00,74.5,50.3,11.5,29.9,12.29,0
25.83,24.00,500.00,73.3,49.5,6.9,29.9,12.28,0
24.3,24.00,500.00,77.6,45.1,4.1,29.9,12.28,0
20.64,24.00,500.00,84.3,74.8,5.9,29.8,12.37,0
19.2,24.00,500.00,84.5,74.6,6.7,29.8,12.38,0
24.46,24.00,500.00,82.6,68.7,6.6,29.8,12.38,0
25.12,24.00,500.00,84.2,70.3,7.5,29.8,12.39,0
24.45,24.00,500.00,84.4,68.9,9.4,29.8,12.38,0
27.04,24.00,500.00,83.1,67.7,8.8,29.8,12.39,0
25.22,24.00,500.00,83.3,63,6.3,29.8,12.39,0
20.21,24.00,500.00,83,65,5.2,29.8,12.39,0
23.07,24.00,500.00,84.8,66.2,4.1,29.8,12.39,0
22.38,24.00,500.00,84.8,64.4,4.5,29.8,12.40,0
23.32,24.00,500.00,84,58.3,6.8,29.8,12.40,0
24.19,24.00,500.00,82.2,62.1,8.1,29.8,12.40,0
24.79,24.00,500.00,78.1,59.3,9.3,29.9,12.41,0
26.77,24.00,500.00,76.1,58.3,9.3,29.9,12.40,0
26.01,24.00,500.00,76.7,58.9,6.7,29.9,12.41,0
25.35,24.00,500.00,80.1,60.9,5.9,29.8,12.40,0
21.55,24.00,500.00,80.9,64.7,8.5,29.8,12.41,0
23.96,24.00,500.00,74.1,53.6,13.9,29.9,12.40,0
26.15,24.00,500.00,72.5,52.6,6.7,29.9,12.41,0
25.45,24.00,500.00,76.1,55.4,5.9,29.9,12.41,0
